Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1448,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3984 A,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 73583,2022
Transit,HATSouth,HATS-65,2018
Transit,K2,EPIC 249893012,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-564,2020
Transit,HATNet,HAT-P-62,2021
Transit,HATSouth,HATS-63,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1260,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-561,2020
Transit,Next-Generation Transit Survey (NGTS),NGTS-8,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-500,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 207496,2023
Radial Velocity,Multiple Observatories,HD 219134,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3023,2023
Transit,Next-Generation Transit Survey (NGTS),NGTS-17,2021
Transit,K2,K2-266,2018
Transit,K2,K2-25,2015
Transit,K2,K2-266,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4201,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5344,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1266,2020
Transit,HATSouth,HATS-37 A,2020
Transit,HATSouth,HATS-77,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),L 98-59,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4463 A,2023
Transit,K2,K2-100,2016
Transit,Kepler,PH2,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3629,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),LTT 3780,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6130,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2180,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2236,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5616,2024
Transit,HATNet,HAT-P-60,2021
Transit,HATSouth,HATS-49,2020
Transit,K2,EPIC 249893012,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1062,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-125,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1260,2021
Transit,HATNet,HAT-P-58,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-532,2021
Transit,K2,EPIC 249893012,2020
Transit,HATSouth,HATS-61,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-157,2020
Transit,Acton Sky Portal Observatory,KPS-1,2018
Transit,Kepler,Kepler-1704,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),L 98-59,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1201,2021
Transit,Kepler,Kepler-111,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1221,2023
Transit,K2,K2-285,2018
Radial Velocity,Roque de los Muchachos Observatory,HD 219134,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3693,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1937 A,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3785,2023
Transit,HATSouth,HATS-66,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2803 A,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2818,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2567,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-561,2020
Transit,K2,EPIC 201595106,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 3929,2022
Radial Velocity,Calar Alto Observatory,GJ 486,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-125,2020
Transit,K2,G 9-40,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1452,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2421,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6034,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3976 A,2023
Transit,K2,K2-3,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2580,2024
Transit,K2,K2-216,2018
Transit,HATSouth,HATS-48 A,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1899,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 260655,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),NGTS-27,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3688 A,2023
Transit,HATSouth,HATS-74 A,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2015,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2583 A,2023
Transit,HATSouth,HATS-47,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-561,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 191939,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 3473,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),LTT 3780,2020
Transit,Next-Generation Transit Survey (NGTS),NGTS-12,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2570,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2842,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2379,2024
Transit,Next-Generation Transit Survey (NGTS),NGTS-13,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2134,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2136,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5542,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5634 A,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-674,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6651,2024
Transit,SuperWASP,WASP-18,2009
Transit,SuperWASP-South,WASP-132,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-905,2020
Transit,WASP-South,WASP-193,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-908,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-858 B,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-815,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-782,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-815,2024
Transit,SuperWASP,WASP-19,2009
Transit,XO,XO-7,2019
Transit,SuperWASP-South,WASP-174,2018
Transit,WASP-South,WASP-166,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),Wolf 327,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-836,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-836,2023
Transit,SuperWASP,WASP-77 A,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-733,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-954,2020
Transit,SuperWASP,WASP-153,2017
Transit,Transiting Exoplanet Survey Satellite (TESS),WASP-132,2022
Transit,Multiple Observatories,HD 110067,2023
Transit,Kepler,Kepler-80,2012
Transit,CoRoT,CoRoT-31,2020
Transit,K2,K2-233,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2524,2023
Transit,CoRoT,CoRoT-8,2010
Transit,Kepler,Kepler-305,2014
Transit,Kepler,Kepler-413,2014
Transit,OGLE,OGLE-TR-113,2004
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1749,2021
Transit,HATNet,HAT-P-1,2006
Transit,Kepler,KOI-94,2013
Transit,Kepler,Kepler-18,2011
Transit,Kepler,Kepler-79,2014
Transit,CoRoT,CoRoT-6,2009
Transit,Kepler,Kepler-426,2014
Transit,Kepler,Kepler-44,2011
Transit,Kepler,Kepler-97,2014
Transit,Qatar,Qatar-6,2017
Transit,HATNet,HAT-P-24,2010
Transit,HATNet,HAT-P-54,2015
Transit,K2,K2-32,2016
Transit,Next-Generation Transit Survey (NGTS),NGTS-23,2022
Transit,Qatar,Qatar-2,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2337,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2525,2023
Transit,CoRoT,CoRoT-16,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 1252,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 15337,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 143,2019
Transit,K2,K2-261,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1298,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1669,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2025,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2158,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2285,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3321,2024
Transit,CoRoT,CoRoT-30,2020
Transit,K2,K2-290,2019
Transit,K2,K2-30,2016
Transit,Kepler,Kepler-106,2014
Transit,Kepler,Kepler-7,2009
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1751,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2368,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-558,2021
Transit,CoRoT,CoRoT-24,2014
Transit,Kepler,Kepler-99,2014
Transit,Next-Generation Transit Survey (NGTS),NGTS-5,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1246,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-329,2024
Transit,CoRoT,CoRoT-11,2010
Transit,HATSouth,HATS-46,2018
Transit,CoRoT,CoRoT-1,2008
Transit,CoRoT,CoRoT-22,2014
Transit,Kepler,Kepler-100,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 21520,2024
Transit,K2,HD 3167,2016
Transit,K2,K2-222,2018
Transit,Kepler,Kepler-20,2011
Transit,Kepler,Kepler-20,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),NGTS-11,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5678,2023
Transit,K2,K2-138,2021
Transit,Kepler,KOI-3503,2021
Transit,Kepler,Kepler-51,2012
Transit,CoRoT,CoRoT-12,2010
Transit,HATSouth,HATS-24,2017
Transit,K2,K2-132,2017
Transit,Kepler,Kepler-68,2013
Transit,Next-Generation Transit Survey (NGTS),NGTS-21,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 4672985,2024
Transit,Multiple Observatories,TOI-178,2021
Transit,K2,K2-60,2016
Radial Velocity,La Silla Observatory,HD 114082,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2152,2023
Transit,K2,K2-138,2017
Transit,HATNet,HAT-P-53,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 365102760,2024
Transit,HATNet,HAT-P-12,2009
Transit,Kepler,Kepler-553,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),LHS 1815,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3235,2023
Transit,HATNet,HAT-P-23,2010
Transit,Kepler,Kepler-129,2014
Transit,Next-Generation Transit Survey (NGTS),NGTS-3 A,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-519,2021
Transit,K2,K2-232,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2714,2024
Transit,HATNet,HAT-P-7,2008
Transit,HATSouth,HATS-51,2017
Transit,K2,HD 137496,2021
Transit,Kepler,Kepler-51,2014
Transit,Kepler,Kepler-1655,2018
Transit,Kepler,Kepler-52,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4515,2024
Transit,HATSouth,HATS-32,2016
Transit,HATSouth,HATS-54,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 152843,2021
Transit,Kepler,Kepler-131,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5153,2022
Radial Velocity,Paranal Observatory,HD 42813,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),HIP 9618,2023
Radial Velocity,Multiple Observatories,HD 63935,2021
Transit,K2,K2-138,2017
Transit,Kepler,Kepler-113,2014
Transit,Qatar,Qatar-10,2019
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-421,2020
Transit,CoRoT,CoRoT-23,2011
Transit,HATSouth,HATS-71,2020
Transit,HATNet,HAT-P-5,2007
Transit,HATNet,HAT-P-6,2007
Radial Velocity,Multiple Observatories,HD 80606,2001
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1272,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1422,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6029,2024
Transit,K2,HD 80653,2020
Transit,CoRoT,CoRoT-25,2013
Transit,Kepler,Kepler-18,2011
Transit,Kepler,Kepler-31,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1824,2024
Transit,HATSouth,HATS-55,2019
Transit,Kepler,Kepler-11,2010
Transit,Kepler,Kepler-1513,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2416,2023
Transit,K2,HD 106315,2017
Transit,Multiple Observatories,HD 110067,2023
Transit,K2,K2-19,2016
Transit,Kepler,Kepler-424,2014
Transit,Kepler,Kepler-11,2010
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1246,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1775,2024
Transit,Multiple Observatories,HATS-18,2016
Transit,K2,K2-110,2017
Transit,K2,K2-260,2018
Transit,Kepler,Kepler-101,2014
Transit,Kepler,Kepler-323,2014
Transit,Kepler,Kepler-4,2009
Transit,K2,K2-417,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 237913194,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1836,2024
Transit,HATNet,HAT-P-21,2010
Transit,Kepler,Kepler-307,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1478,2021
Transit,European Space Agency (ESA) Gaia Satellite,Gaia-1,2022
Transit,HATNet,HAT-P-20,2010
Transit,Kepler,Kepler-87,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1268,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3362,2021
Transit,CoRoT,CoRoT-9,2009
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 25463,2023
Transit,K2,K2-32,2019
Transit,Kepler,KOI-1783,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1685,2021
Transit,HATNet,HAT-P-19,2010
Radial Velocity,Haute-Provence Observatory,HD 88986,2023
Transit,K2,K2-295,2018
Transit,Kepler,Kepler-20,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1842,2021
Transit,HATSouth,HATS-44,2018
Transit,Kepler,Kepler-22,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-431,2021
Transit,Kepler,Kepler-45,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2046,2022
Transit,Kepler,Kepler-20,2011
Transit,HATNet,HAT-P-16,2010
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 86226,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5398,2023
Transit,HATSouth,HATS-29,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 332231,2020
Transit,K2,K2-38,2016
Transit,Kepler,Kepler-106,2014
Transit,Kepler,Kepler-26,2011
Transit,Kepler,Kepler-422,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1052,2023
Transit,Multiple Observatories,HD 110067,2023
Transit,K2,K2-136,2017
Transit,Kepler,Kepler-48,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2498,2023
Transit,Kepler,Kepler-48,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3568,2024
Transit,CoRoT,CoRoT-14,2010
Transit,CoRoT,CoRoT-2,2008
Transit,K2,K2-24,2016
Transit,Kepler,Kepler-427,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1269,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-199,2023
Transit,K2,EPIC 220674823,2016
Radial Velocity,W. M. Keck Observatory,GJ 414 A,2021
Transit,K2,K2-136,2017
Transit,K2,K2-415,2023
Transit,Kepler,KOI-94,2013
Transit,Kepler,Kepler-428,2014
Transit,Kepler,Kepler-6,2009
Transit,K2,K2-290,2019
Transit,KELT,KELT-2 A,2012
Transit,Kepler,Kepler-131,2014
Transit,Kepler,Kepler-419,2014
Transit,HATSouth,HATS-13,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 22946,2023
Transit,K2,K2-263,2018
Transit,KELT-South,KELT-10,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1472,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 22946,2022
Transit,Kepler,Kepler-53,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-220,2021
Transit,HATNet,HAT-P-27,2011
Transit,HATSouth,HATS-33,2016
Transit,HATSouth,HATS-6,2015
Transit,K2,K2-79,2016
Transit,Kepler,Kepler-107,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4551,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4641,2023
Transit,K2,K2-29,2016
Transit,Multiple Observatories,Lupus-TR-3,2007
Transit,HATNet,HAT-P-49,2014
Transit,HATSouth,HATS-15,2016
Transit,OGLE,OGLE-TR-182,2007
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1634,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-431,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4600,2023
Transit,HATSouth,HATS-39,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 63935,2021
Transit,Kepler,KOI-94,2013
Transit,Kepler,Kepler-1661,2020
Transit,Kepler,Kepler-406,2014
Transit,Kepler,Kepler-93,2014
Transit,HATSouth,HATS-31,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1753,2024
Transit,HATNet,HAT-P-44,2014
Transit,HATNet,HAT-P-39,2012
Transit,HATSouth,HATS-53,2017
Transit,K2,K2-291,2019
Transit,Kepler,Kepler-1876,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1130,2020
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1439,2024
Transit,HATNet,HAT-P-22,2010
Transit,Kepler,Kepler-1972,2014
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1516,2022
Transit,Kepler,Kepler-80,2014
Transit,HATNet,HAT-P-17,2010
Transit,HATNet,HAT-P-30,2011
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1249,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1296,2021
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1347,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1470,2023
Transit,HATSouth,HATS-34,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 235088,2023
Transit,Kepler,Kepler-109,2014
Transit,Kepler,Kepler-26,2011
Transit,Kepler,Kepler-57,2012
Transit,Kepler,Kepler-177,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),LTT 1445 A,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1670,2022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2589,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3894,2024
Transit,K2,K2-33,2016
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4153,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5232,2024
Transit,Kepler,Kepler-53,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1468,2022
Transit,K2,K2-138,2017
Transit,Kepler,Kepler-307,2013
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4379,2024
Transit,CoRoT,CoRoT-24,2014
Transit,HATNet,HAT-P-29,2011
Transit,HATNet,HAT-P-46,2014
Transit,Kepler,Kepler-103,2014
Transit,Kepler,Kepler-60,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1410,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4406,2023
Transit,K2,GJ 9827,2017
Transit,K2,K2-10,2015
Transit,Kepler,Kepler-15,2011
Transit,Kepler,Kepler-412,2014
Transit,Kepler,Kepler-62,2013
Transit,La Silla Observatory,POTS-1,2013
Transit,CoRoT,CoRoT-5,2009
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1194,2023
Transit Timing Variations,Transiting Exoplanet Survey Satellite (TESS),TOI-1408,2024
Transit,K2,K2-180,2018
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2076,2021
Transit,K2,GJ 9827,2017
Transit,K2,K2-280,2018
Transit,HATNet,HAT-P-38,2012
Transit,Kepler,Kepler-1705,2014
Transit,HATNet,HAT-P-34,2011
Transit,HATNet,HAT-P-35,2011
Transit,HATSouth,HATS-27,2016
Transit,K2,K2-233,2018
Transit,HATSouth,HATS-8,2015
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2128,2024
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2141,2023
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-260,2024
